"date","phenocam","doy","rcc","gcc","bcc","brt","night.filtered","spline.filtered","max.filtered","year","soil_sensor","sm5cm_daily_mean","sm30cm_daily_mean","sm5cm_daily_min","sm30cm_daily_min","sm5cm_daily_10th","sm30cm_daily_10th","sm5cm_daily_25th","sm30cm_daily_25th","sm5cm_3day90th","sm30cm_3day90th","sm5cm_3day10th","sm30cm_3day10th","sm5cm_3day25th","sm30cm_3day25th","stemp5_daily_mean","stemp30_daily_mean","airtemp_daily_mean","airtemp_daily_min","snowdepth_daily_mean","stemp5_3day90th","stemp30_3day90th","snowdepth_3day90th","air_3day90th"
"2018-08-20",9,232,0.425694267437274,0.366653262314999,0.204934796680081,329.564034025776,0.366653262314999,0.366653262314999,0.367132998696283,2018,"b",0.182979166666667,0.0906458333333333,0.15,0.088,0.155,0.088,0.17075,0.09,0.2879,0.111,0.146,0.09,0.17375,0.091,9.63183333333333,8.82861111111111,7.13714583333333,1,2559.66666666667,15.24,9.8,2570,10.19
"2018-10-18",17,291,0.289981120688444,0.342909562862277,0.366643935532939,583.163768447256,0.342909562862277,0.342909562862277,0.344847510781907,2018,"b",0.363006944444444,0.264555555555556,0.359,0.258,0.36,0.2593,0.362,0.262,0.37,0.269,0.3581,0.261,0.36,0.263,-0.107444444444444,1.77999305555556,-0.646902777777778,-4.722,3477.65277777778,0.6159,2.105,3566,2.1111
"2018-07-02",20,183,0.356458704097347,0.413138957578793,0.230587400801125,348.271962872622,0.413138957578793,0.413138957578793,0.415499113432058,2018,"b",0.226513888888889,0.221020833333333,0.215,0.218,0.221,0.219,0.227,0.22,0.239,0.224,0.212,0.218,0.214,0.219,10.5981180555556,7.42527777777778,11.8440069444444,1,3411.86111111111,14.591,8.209,3432,15.777
"2018-08-16",8,228,0.40392150022543,0.376047075438947,0.219554498893364,328.329847428909,0.376047075438947,0.376047075438947,0.377813138798116,2018,"b",0.0620763888888889,0.0958611111111111,0.056,0.092,0.057,0.092,0.06,0.09475,0.071,0.107,0.055,0.092,0.058,0.093,10.4745486111111,8.26006944444445,10.7783541666667,1,2484.38888888889,12.96,8.5,2501,14.325
"2018-10-11",19,284,0.290573730757424,0.331150397124002,0.378275872118574,582.760512236523,0.331150397124002,0.331503973794739,0.335132604367094,2018,"b",0.250993055555556,0.159555555555556,0.25,0.159,0.25,0.159,0.251,0.159,0.255,0.163,0.25,0.159,0.251,0.159,1.52188888888889,4.22056944444444,-3.94258333333333,-6.072,500,1.931,4.993,4411,-0.165399999999998
"2018-10-13",13,286,0.323192715514726,0.351922726424295,0.32584198913117,364.256602671979,0.351922726424295,0.351922726424295,0.352749705887656,2018,"b",0.179611111111111,0.431319444444444,0.175,0.425,0.175,0.426,0.176,0.428,0.189,0.434,0.176,0.427,0.176,0.43,0.256972222222222,2.73252777777778,0.0894236111111111,-2.347,3237.98611111111,0.8564,3.0639,3256,0.6647
"2018-08-15",15,227,0.382532179692935,0.416982050358994,0.200664012114294,307.598102005036,0.416982050358994,0.416982050358994,0.422618393350851,2018,"a",0.728,0.182916666666667,0.728,0.173,0.728,0.174,0.728,0.17875,0.729,0.187,0.728,0.173,0.728,0.177,14.3767361111111,24.9814583333333,11.3380902777778,1,3422.57638888889,20.705,26.509,3437.9,15.79
"2018-08-15",16,227,0.391637949658233,0.377597872541536,0.229139162696384,327.363028374658,0.377597872541536,0.377597872541536,0.381111823755169,2018,"b",0.119597222222222,0.0364583333333333,0.115,0.031,0.117,0.032,0.119,0.032,0.123,0.0439,0.114,0.03,0.115,0.032,11.0306944444444,13.236875,10.8330208333333,1,3267.9375,11.77,18.175,3301,15.318
"2018-09-30",8,273,0.389267656373984,0.37243704679894,0.238515092641195,311.429796192998,0.37243704679894,0.37243704679894,0.373085673057433,2018,"b",0.08725,0.121777777777778,0.082,0.12,0.085,0.121,0.08575,0.121,0.091,0.123,0.082,0.121,0.084,0.121,5.88828472222222,5.30095138888889,8.35176388888889,1,2451.88888888889,7.3929,5.617,2456,11.358
"2018-09-15",19,258,0.414756173237002,0.348474694192078,0.23676913257092,335.934622161105,0.348474694192078,0.348474694192078,0.35013707306622,2018,"b",0.0642083333333333,0.0734930555555555,0.062,0.072,0.062,0.072,0.062,0.072,0.072,0.077,0.058,0.07,0.062,0.072,14.5820416666667,11.2316666666667,12.5964583333333,1,500,23.89,11.7,500,16.689
