"phenocam","rcc","gcc","bcc","brt","night.filtered","spline.filtered","max.filtered","date","doy","year"
6,0.373012198918504,0.38602309081731,0.240858377266518,323.920786045003,0.38602309081731,0.38602309081731,0.39152289227854,"2018-06-17",168,2018
9,0.45572711787077,0.341778233729554,0.203089752756784,358.039114740223,0.341778233729554,0.341778233729554,0.344362088493803,"2018-09-12",255,2018
10,0.324830697381507,0.371724356844355,0.303356112699094,347.498304997629,0.371724356844355,0.371724356844355,0.377602371444957,"2018-06-02",153,2018
12,0.349751101305155,0.389324927960868,0.261137847639606,318.840350520192,0.389324927960868,0.391302787424101,0.411145777686802,"2018-07-18",199,2018
7,0.360107846310984,0.452506358690783,0.189362021985197,273.471578225394,0.452506358690783,0.452506358690783,0.453583483139404,"2018-07-21",202,2018
13,0.258724775746463,0.336297404564167,0.404855159201969,419.178083250335,0.336297404564167,0.336297404564167,0.352749705887656,"2018-10-14",287,2018
17,0.283131990362026,0.343952314531475,0.372798797637866,603.458962635576,0.343952314531475,0.343952314531475,0.344847646650594,"2018-10-16",289,2018
8,0.381120421785575,0.368141329452299,0.250902309975371,316.132829061128,0.368141329452299,0.368141329452299,0.373085673057433,"2018-10-01",274,2018
14,0.360501727714968,0.398040949516669,0.240894559704221,325.752924852925,0.398040949516669,0.398040949516669,0.403835726810343,"2018-07-08",189,2018
17,0.289620848221897,0.340765352710875,0.369613799067228,390.232944702685,0.340765352710875,0.340765352710875,0.348851139232862,"2018-10-22",295,2018
14,0.416113658003993,0.364706048677798,0.219011122471754,332.849420069943,0.364706048677798,0.364706048677798,0.366428085423948,"2018-10-03",276,2018
8,0.303956396530343,0.345574000582505,0.351222668080622,341.582072652819,0.345574000582505,0.345574000582505,0.37096235278762,"2018-10-06",279,2018
8,0.374061613235872,0.406317611064495,0.219452775666525,310.669074344177,0.406317611064495,0.406317611064495,0.408900504416588,"2018-07-27",208,2018
7,0.41955263435642,0.404956754100117,0.175490611543463,298.820603093005,0.404956754100117,0.404956754100117,0.405932507378809,"2018-08-16",228,2018
7,0.371761351580728,0.381512194862196,0.247182153214095,322.511922348155,0.381512194862196,0.381512194862196,0.386159773452769,"2018-05-30",150,2018
11,0.450577084700972,0.356635941216785,0.192933875001026,339.576432740808,0.356635941216785,0.356635941216785,0.357398903749738,"2018-09-15",258,2018
6,0.373331254011445,0.430848147777869,0.195686641241044,296.72002680388,0.430848147777869,0.430848147777869,0.434938892925344,"2018-07-03",184,2018
6,0.445742033065885,0.323196933883383,0.230980248916146,352.974083915331,0.323196933883383,0.323196933883383,0.324812325836198,"2018-09-16",259,2018
8,0.391860386428389,0.371310887754081,0.236329582585094,316.693019772969,0.371310887754081,0.371310887754081,0.372102770800429,"2018-09-14",257,2018
13,0.369917084431314,0.445452397596606,0.184140022711756,316.171278424261,0.445452397596606,0.445452397596606,0.451908116356939,"2018-08-09",221,2018
16,0.350720033693785,0.405202582162419,0.243976712856724,319.08114232094,0.405202582162419,0.405202582162419,0.406119171969164,"2018-06-26",177,2018
6,0.383612184075265,0.43471475995469,0.180763148782272,277.927817515305,0.43471475995469,0.43471475995469,0.435057695931755,"2018-07-02",183,2018
17,0.305034772336941,0.448969874981677,0.244760161017413,299.825459833795,0.448969874981677,0.448969874981677,0.450687663917905,"2018-07-19",200,2018
21,0.374451997505558,0.340486076542561,0.285061925951881,331.041102464332,0.340486076542561,0.340486076542561,0.350561406868059,"2018-09-06",249,2018
19,0.422296799433687,0.350889719123931,0.226536434847916,331.785581530264,0.350889719123931,0.350889719123931,0.352378078786821,"2018-09-08",251,2018
17,0.38423516213138,0.367104658921023,0.246625601153155,351.617635703218,0.367104658921023,0.367104658921023,0.370213302370756,"2018-09-24",267,2018
19,0.357211330786342,0.443149153867362,0.199178892042142,292.358649219839,0.443149153867362,0.443149153867362,0.449940956039656,"2018-07-18",199,2018
13,0.429566948577463,0.385446114332417,0.183960443852408,337.037390814072,0.385446114332417,0.385446114332417,0.388527119990696,"2018-09-16",259,2018
20,0.399050892288136,0.389410572634427,0.211569902187199,366.349562294826,0.389410572634427,0.389410572634427,0.392370475582726,"2018-08-13",225,2018
9,0.321059986829488,0.327005595191302,0.35193441797921,718.675109644824,0.327005595191302,0.327005595191302,0.329363793800465,"2018-11-12",316,2018
8,0.346098262189243,0.420338242339479,0.235433692990976,316.088470703244,0.420338242339479,0.420338242339479,0.424857114571083,"2018-06-14",165,2018
11,0.350970335452014,0.439886245030489,0.209405872688222,324.2610750607,0.439886245030489,0.439886245030489,0.447267889253983,"2018-06-21",172,2018
20,0.346393990041273,0.410372707275656,0.239824259227442,331.945918967002,0.410372707275656,0.410372707275656,0.414685842570554,"2018-07-04",185,2018
21,0.340046049238958,0.363269208335441,0.296684742425601,261.104580152672,0.363269208335441,0.363269208335441,0.366509296620258,"2018-05-27",147,2018
9,0.429632437795285,0.352598535845798,0.217800704798412,362.785567031562,0.352598535845798,0.352598535845798,0.353543623367282,"2018-09-03",246,2018
12,0.42966687970521,0.342381594359327,0.230275431497984,338.332383749967,0.342381594359327,0.342381594359327,0.345689060370956,"2018-09-02",245,2018
21,0.366804917141355,0.400838100872876,0.232766058606495,284.669775808258,0.400838100872876,0.400838100872876,0.403125135560748,"2018-08-05",217,2018
17,0.315186076965744,0.44276089435029,0.242278450388421,303.564491045001,0.44276089435029,0.44276089435029,0.44706029399509,"2018-08-05",217,2018
20,0.408829972632477,0.353935161876579,0.23754769318909,478.823117758717,0.353935161876579,0.353935161876579,0.357349096285342,"2018-09-13",256,2018
9,0.35762510415504,0.398803611775484,0.243571284069476,332.645895552078,0.398803611775484,0.398803611775484,0.400645438321592,"2018-06-30",181,2018
11,0.389693068738658,0.410524858006691,0.199736058893389,315.315563317674,0.410524858006691,0.410524858006691,0.413032207192342,"2018-08-06",218,2018
13,0.405371537214133,0.378708948458987,0.21591951432688,330.258690512988,0.378708948458987,0.378708948458987,0.385242465730176,"2018-09-29",272,2018
11,0.416445736518235,0.390294811220091,0.193285060681457,339.47968330245,0.390294811220091,0.390294811220091,0.391152997183181,"2018-08-16",228,2018
8,0.366655437310122,0.412291491549445,0.221682219359647,295.327271046518,0.412291491549445,0.412291491549445,0.414716531149236,"2018-07-19",200,2018
19,0.405220791031718,0.349556511690963,0.24509299365298,344.973636148772,0.349556511690963,0.349556511690963,0.351630408439871,"2018-10-02",275,2018
6,0.37378785310356,0.426797020771452,0.198070492622553,294.292482287272,0.426797020771452,0.426797020771452,0.4285971490548,"2018-07-17",198,2018
12,0.432104350187141,0.348014839738449,0.219880810074409,346.250064072234,0.348014839738449,0.348014839738449,0.350064959855975,"2018-08-29",241,2018
16,0.276456711878318,0.325335750470151,0.398207537651531,432.254825832985,0.325335750470151,0.325335750470151,0.332809935128371,"2018-10-22",295,2018
7,0.374928601792655,0.439779623328828,0.187005941038144,299.497448404099,0.439779623328828,0.439779623328828,0.441767415750508,"2018-07-31",212,2018
13,0.284542260736093,0.340896123676991,0.373888963210255,568.968665212762,0.340896123676991,0.340896123676991,0.342568816348802,"2018-10-18",291,2018
8,0.354138249469647,0.437440596166961,0.208770944917769,295.527895562209,0.437440596166961,0.437440596166961,0.439264421494601,"2018-07-02",183,2018
